run_id,model,feature_groups,profile,config_hash,feature_code_digest,seeds,folds,oof_auc,core_complete_auc,core_incomplete_auc,test_pattern_weighted_auc,seed_auc_mean,seed_auc_std,fold_auc_mean,fold_auc_std,duration_seconds,git_sha,status,oof_path,test_pred_path,blend_method,blend_weights,source_runs,has_submission,submission_csv,public_lb,private_lb,notes
20260807T070004Z-catboost-smoke-983bd13,catboost,"raw,missingness,behavioral_totals,behavioral_ratios,behavioral_deltas,log_counts,categorical_interactions",smoke,92b394da8d7e6bbcb655edb46b8c3ca8b5dfdcccf3110d57ed441c3eac939752,,42,2.0,0.9273771482002278,,,,0.9273771482002278,0.0,0.9279040064448436,0.0026793813893279,4.0,983bd13,completed,artifacts/runs/20260807T070004Z-catboost-smoke-983bd13/oof_predictions.parquet,artifacts/runs/20260807T070004Z-catboost-smoke-983bd13/test_predictions.parquet,,,,no,,,,5000 rows pipeline smoke
20260807T070027Z-lightgbm-smoke-983bd13,lightgbm,"raw,missingness,behavioral_totals,behavioral_ratios,behavioral_deltas,log_counts,categorical_interactions",smoke,496a83c036c06704d06915eb9231db841949a05a135bd413a4a5458a67c9d9f1,,42,2.0,0.926887799679886,,,,0.926887799679886,0.0,0.927737953774062,0.0006739344685748,4.0,983bd13,completed,artifacts/runs/20260807T070027Z-lightgbm-smoke-983bd13/oof_predictions.parquet,artifacts/runs/20260807T070027Z-lightgbm-smoke-983bd13/test_predictions.parquet,,,,no,,,,5000 rows pipeline smoke
20260807T071924Z-catboost-dev-6532ed6,catboost,"raw,missingness,behavioral_totals,behavioral_ratios,behavioral_deltas,log_counts,categorical_interactions",dev,8164bf6dbcf8c6dc814d110329bf4f22c148e8bb820ab7032cbf2831bea5b738,,42,5.0,0.9616866985812608,,,,0.9616866985812608,0.0,0.961688114804463,0.0005870637243132,3625.0,6532ed6,completed,artifacts/runs/20260807T071924Z-catboost-dev-6532ed6/oof_predictions.parquet,artifacts/runs/20260807T071924Z-catboost-dev-6532ed6/test_predictions.parquet,,,,no,,,,used in selected blend; all folds hit max iterations
20260809T021753Z-lightgbm-dev-6532ed6,lightgbm,"raw,missingness,behavioral_totals,behavioral_ratios,behavioral_deltas,log_counts,categorical_interactions",dev,6db6366a4fa37e3595da4f110acd8860cb4083fec066823ad2e22597510c43ea,,42,5.0,0.9617917806516564,,,,0.9617917806516564,0.0,0.9617977126576208,0.000620952151347,193.0,6532ed6,completed,artifacts/runs/20260809T021753Z-lightgbm-dev-6532ed6/oof_predictions.parquet,artifacts/runs/20260809T021753Z-lightgbm-dev-6532ed6/test_predictions.parquet,,,,no,,,,full-data dev baseline
20260809T022155Z-lightgbm-final-6532ed6,lightgbm,"raw,missingness,behavioral_totals,behavioral_ratios,behavioral_deltas,log_counts,categorical_interactions",final,389157606f92871fc978a2e1371a9237efb20264df2fee3eb94de04bafa21712,,"42,2026,3407",5.0,0.9623916349093656,,,,0.9617366875930334,0.0001135305070921,0.9617473132336388,0.0005556890921789,583.0,6532ed6,completed,artifacts/runs/20260809T022155Z-lightgbm-final-6532ed6/oof_predictions.parquet,artifacts/runs/20260809T022155Z-lightgbm-final-6532ed6/test_predictions.parquet,,,,yes,submissions/submission.csv,0.96336,,public_lb=0.96336 first submission
20260809T024020Z-catboost-final-6532ed6,catboost,"raw,missingness,behavioral_totals,behavioral_ratios,behavioral_deltas,log_counts,categorical_interactions",final,d5b98927d9b2eb1b141a4f3f51468d5ab378e2582df124667a75b894c6b57a09,,"42,2026,3407",5.0,0.9618383693166688,,,,0.9616319938869352,4.2388413795798985e-05,0.9616335229259232,0.0005807753703634,17539.0,6532ed6,completed,artifacts/runs/20260809T024020Z-catboost-final-6532ed6/oof_predictions.parquet,artifacts/runs/20260809T024020Z-catboost-final-6532ed6/test_predictions.parquet,,,,no,,,,multi-seed final; not used in selected blend
20260807T071924Z-catboost-dev-6532ed6__20260809T022155Z-lightgbm-final-6532ed6,blend-rank,"raw,missingness,behavioral_totals,behavioral_ratios,behavioral_deltas,log_counts,categorical_interactions",blend,,,42+final,5.0,0.9628007391613338,,,,,,,,,6532ed6,completed,artifacts/blends/20260807T071924Z-catboost-dev-6532ed6__20260809T022155Z-lightgbm-final-6532ed6/oof_predictions.parquet,artifacts/blends/20260807T071924Z-catboost-dev-6532ed6__20260809T022155Z-lightgbm-final-6532ed6/test_predictions.parquet,rank,"0.4,0.6",artifacts/runs/20260807T071924Z-catboost-dev-6532ed6;artifacts/runs/20260809T022155Z-lightgbm-final-6532ed6,yes,submissions/blend_cb_dev_lgb_final.csv,0.96368,,public_lb=0.96368 rank w_cb=0.4 w_lgb=0.6; selected finalist
20260812T100356Z-lightgbm-dev-dcaf81b,lightgbm,"raw,missingness,behavioral_totals,behavioral_ratios,behavioral_deltas,log_counts,categorical_interactions",dev,3791faf9d1bdceb141e887db4a6458c5e483bf5940f2feb030c944c0bb14314c,35d7f1359d78dd65e90cd3cf5b2f3c107310ad7d5361a23de4a12830838cef3d,42,5.0,0.9618817819133488,0.9700607470761388,0.9492132451371036,0.9609252593603924,0.9618817819133488,0.0,0.9618822470114252,0.0006308129400987,208.0,dcaf81b,completed,artifacts/runs/20260812T100356Z-lightgbm-dev-dcaf81b/oof_predictions.parquet,artifacts/runs/20260812T100356Z-lightgbm-dev-dcaf81b/test_predictions.parquet,,,,no,,,,
20260812T101345Z-lightgbm-dev-dcaf81b,lightgbm,"raw,missingness,behavioral_totals,behavioral_ratios,behavioral_deltas,log_counts,categorical_interactions",dev,0a3999b0d0475d879b8815e4e330bd678bc234f9c40f53020039f8fc73b14321,77ff4f2d882518be697babca9517ae76444e09323e39f3f4dd2c3b417e130dd2,42,5.0,0.9618057801762944,0.9699150580225824,0.9492559812000864,0.9608896286873796,0.9618057801762944,0.0,0.961815059199051,0.0006094297156472,225.0,dcaf81b,completed,artifacts/runs/20260812T101345Z-lightgbm-dev-dcaf81b/oof_predictions.parquet,artifacts/runs/20260812T101345Z-lightgbm-dev-dcaf81b/test_predictions.parquet,,,,no,,,,
20260812T102233Z-lightgbm-dev-dcaf81b,lightgbm,"raw,missingness,behavioral_totals,behavioral_ratios,behavioral_deltas,log_counts,categorical_interactions",dev,f5afbc6e92fb3d2040c81e3d2421ab2f5e41db6c65bfd62f8fb1f007fd9cf7a3,3c426f638fc2a74ede47809094174b1ad5bda5ac15edcd712eb2edf1f08ccc2a,42,5.0,0.9620115160283756,0.9702055830834728,0.949298354216827,0.9610347907176086,0.9620115160283756,0.0,0.9620150593782753,0.0006348552618976,381.0,dcaf81b,completed,artifacts/runs/20260812T102233Z-lightgbm-dev-dcaf81b/oof_predictions.parquet,artifacts/runs/20260812T102233Z-lightgbm-dev-dcaf81b/test_predictions.parquet,,,,no,,,,
20260812T103342Z-lightgbm-dev-dcaf81b,lightgbm,"raw,missingness,behavioral_totals,behavioral_ratios,behavioral_deltas,log_counts,categorical_interactions",dev,87f3f515b2d7f642861c1fe0cd4efacbcc6067398dee6c717e1d96da56ce583d,3c426f638fc2a74ede47809094174b1ad5bda5ac15edcd712eb2edf1f08ccc2a,42,5.0,0.9621694891713072,0.9700406865775192,0.950028507321378,0.9612997699587928,0.9621694891713072,0.0,0.9621729748955348,0.0006209461728395,341.0,dcaf81b,completed,artifacts/runs/20260812T103342Z-lightgbm-dev-dcaf81b/oof_predictions.parquet,artifacts/runs/20260812T103342Z-lightgbm-dev-dcaf81b/test_predictions.parquet,,,,no,,,,
20260813T015752Z-lightgbm-dev-dcaf81b,lightgbm,"raw,missingness,behavioral_totals,behavioral_ratios,behavioral_deltas,log_counts,categorical_interactions",dev,56ec87c7d66a229d2043440a6caa646da4773476ba851aecc9e7acf433b8589b,483b81a5ef6e179a8560ae69e171135cff700b2ce0da87a36a20d60080e901e0,42,5.0,0.9634114370613204,0.970441793010771,0.9527061943915464,0.9627743658398916,0.9634114370613204,0.0,0.963417186053604,0.0005578943549475,212.0,dcaf81b,completed,artifacts/runs/20260813T015752Z-lightgbm-dev-dcaf81b/oof_predictions.parquet,artifacts/runs/20260813T015752Z-lightgbm-dev-dcaf81b/test_predictions.parquet,,,,no,,,,
20260813T020522Z-lightgbm-dev-dcaf81b,lightgbm,"raw,missingness,behavioral_totals,behavioral_ratios,behavioral_deltas,log_counts",dev,312d3cfd2e896004568527123f2d6c6961e1fb8cd7d19d68a071989caf111825,483b81a5ef6e179a8560ae69e171135cff700b2ce0da87a36a20d60080e901e0,42,5.0,0.9636091408755936,0.9706026660830362,0.9529523715187328,0.9629681620759216,0.9636091408755936,0.0,0.9636175572895482,0.0005697485072119,240.0,dcaf81b,completed,artifacts/runs/20260813T020522Z-lightgbm-dev-dcaf81b/oof_predictions.parquet,artifacts/runs/20260813T020522Z-lightgbm-dev-dcaf81b/test_predictions.parquet,,,,no,,,,
20260813T021242Z-lightgbm-dev-dcaf81b,lightgbm,"raw,missingness,behavioral_totals,behavioral_ratios,log_counts",dev,7bcc26570facd336b5f2f454b2f8ff1306e1cf6d9c6d385f01d068248b3541b5,483b81a5ef6e179a8560ae69e171135cff700b2ce0da87a36a20d60080e901e0,42,5.0,0.9636347836566576,0.970615918195673,0.9529991427705828,0.9629962796414954,0.9636347836566576,0.0,0.9636379781656456,0.0005891545939785,227.0,dcaf81b,completed,artifacts/runs/20260813T021242Z-lightgbm-dev-dcaf81b/oof_predictions.parquet,artifacts/runs/20260813T021242Z-lightgbm-dev-dcaf81b/test_predictions.parquet,,,,no,,,,
20260813T021902Z-lightgbm-dev-dcaf81b,lightgbm,"raw,missingness,behavioral_totals,behavioral_ratios,behavioral_deltas",dev,91ba0c47a49e4330ffee42add0f612d67f9fdc4a83565f6f6aaf0123878bf39d,483b81a5ef6e179a8560ae69e171135cff700b2ce0da87a36a20d60080e901e0,42,5.0,0.963235971378258,0.9702779326072404,0.952493250575256,0.9626020511186386,0.963235971378258,0.0,0.9632549104241246,0.0007800156478988,219.0,dcaf81b,completed,artifacts/runs/20260813T021902Z-lightgbm-dev-dcaf81b/oof_predictions.parquet,artifacts/runs/20260813T021902Z-lightgbm-dev-dcaf81b/test_predictions.parquet,,,,no,,,,
20260813T022331Z-lightgbm-dev-dcaf81b,lightgbm,"raw,missingness,behavioral_totals,behavioral_deltas,log_counts",dev,7b2da7f14f989fad8ab3b9a8be9e7b1d6d787d15a94ea07c81d1581c9705fbf4,483b81a5ef6e179a8560ae69e171135cff700b2ce0da87a36a20d60080e901e0,42,5.0,0.9637109673211792,0.970788634364136,0.9529167301049724,0.9630768234412994,0.9637109673211792,0.0,0.96371275787071,0.000584697063927,273.0,dcaf81b,completed,artifacts/runs/20260813T022331Z-lightgbm-dev-dcaf81b/oof_predictions.parquet,artifacts/runs/20260813T022331Z-lightgbm-dev-dcaf81b/test_predictions.parquet,,,,no,,,,
20260813T060110Z-lightgbm-dev-dcaf81b,lightgbm,"raw,missingness",dev,63ccd38fbb05d6e90a2acf79f227ee875f0747732bb9359c79301e6887873455,483b81a5ef6e179a8560ae69e171135cff700b2ce0da87a36a20d60080e901e0,42,5.0,0.963120760151562,0.9699020366392858,0.9528552929312774,0.96254330401698,0.963120760151562,0.0,0.9631220465437952,0.0005891085579476,209.0,dcaf81b,completed,artifacts/runs/20260813T060110Z-lightgbm-dev-dcaf81b/oof_predictions.parquet,artifacts/runs/20260813T060110Z-lightgbm-dev-dcaf81b/test_predictions.parquet,,,,no,,,,
20260813T060934Z-lightgbm-dev-dcaf81b,lightgbm,"raw,missingness,behavioral_totals,behavioral_deltas,log_counts",dev,65edeb4d0429a8de2d3aeec47a6b08ae4086bd0718663125534e7d3151fd3f47,483b81a5ef6e179a8560ae69e171135cff700b2ce0da87a36a20d60080e901e0,42,5.0,0.9616293955900364,0.9692352301752688,0.9499841430594372,0.9610034272832678,0.9616293955900364,0.0,0.9616303196777248,0.0006868078313927,205.0,dcaf81b,completed,artifacts/runs/20260813T060934Z-lightgbm-dev-dcaf81b/oof_predictions.parquet,artifacts/runs/20260813T060934Z-lightgbm-dev-dcaf81b/test_predictions.parquet,,,,no,,,,
20260807T071924Z-catboost-dev-6532ed6__20260813T022331Z-lightgbm-dev-dcaf81b,blend-probability,all,blend,,,,,0.963831598567601,0.970933145718006,0.9530006277321058,0.9632086997155956,,,,,,,completed,artifacts/blends/20260807T071924Z-catboost-dev-6532ed6__20260813T022331Z-lightgbm-dev-dcaf81b/oof_predictions.parquet,artifacts/blends/20260807T071924Z-catboost-dev-6532ed6__20260813T022331Z-lightgbm-dev-dcaf81b/test_predictions.parquet,probability,"0.2,0.8",artifacts/runs/20260807T071924Z-catboost-dev-6532ed6;artifacts/runs/20260813T022331Z-lightgbm-dev-dcaf81b,no,,,,"method=probability weights=0.2,0.8"
20260809T024020Z-catboost-final-6532ed6__20260813T022331Z-lightgbm-dev-dcaf81b,blend-probability,all,blend,,,,,0.9638451831583716,0.970945410978098,0.9530163051639978,0.9632209450588236,,,,,,,completed,artifacts/blends/20260809T024020Z-catboost-final-6532ed6__20260813T022331Z-lightgbm-dev-dcaf81b/oof_predictions.parquet,artifacts/blends/20260809T024020Z-catboost-final-6532ed6__20260813T022331Z-lightgbm-dev-dcaf81b/test_predictions.parquet,probability,"0.2,0.8",artifacts/runs/20260809T024020Z-catboost-final-6532ed6;artifacts/runs/20260813T022331Z-lightgbm-dev-dcaf81b,no,,,,"method=probability weights=0.2,0.8"
20260813T063020Z-lightgbm-final-dcaf81b,lightgbm,"raw,missingness,behavioral_totals,behavioral_deltas,log_counts",final,e74df58d3180daf9da64968402c688a40d0700bdf299b7e8733806ebb0a8ab52,483b81a5ef6e179a8560ae69e171135cff700b2ce0da87a36a20d60080e901e0,"42,2026,3407",5.0,0.9642546373512644,0.9712609704042828,0.9535679795828385,0.9636200338502986,0.96360554379426,7.51198953049567e-05,0.963612920736094,0.0006380255462485,820.0,dcaf81b,completed,artifacts/runs/20260813T063020Z-lightgbm-final-dcaf81b/oof_predictions.parquet,artifacts/runs/20260813T063020Z-lightgbm-final-dcaf81b/test_predictions.parquet,,,,yes,submissions/20260813T063020Z-lightgbm-final-dcaf81b.csv,0.96543,,LightGBM final 3-seed; masking 0.20; drop missing_pattern/interactions/ratios; 34 feats; best public LB so far
20260813T084935Z-lightgbm-dev-80612a1,lightgbm,"raw,missingness,behavioral_totals,behavioral_deltas,log_counts",dev,10fb86bc8c078461535652804ef02f7c5734ce7f1135a695efe44eb93cde9bf2,70df6f1d05fd8bf06698c3bb8e9395ecc69fc3a43ca539b8006b7f8ef43e2b41,42,5.0,0.9636006614480416,0.9707419925037428,0.9527148013810092,0.962978323754602,0.9636006614480416,0.0,0.96361882158672,0.0005502180323768,218.0,80612a1,completed,artifacts/runs/20260813T084935Z-lightgbm-dev-80612a1/oof_predictions.parquet,artifacts/runs/20260813T084935Z-lightgbm-dev-80612a1/test_predictions.parquet,,,,no,,,,
20260813T085944Z-lightgbm-dev-80612a1,lightgbm,"raw,missingness,behavioral_totals,behavioral_deltas,log_counts",dev,5aec2ac9ca59e66323e27a1a045e9dfaefd1bdf7c04ebbe0ac5020ba17b18095,70df6f1d05fd8bf06698c3bb8e9395ecc69fc3a43ca539b8006b7f8ef43e2b41,42,5.0,0.9634511569901528,0.9706687640257816,0.952427707178278,0.9628185962645632,0.9634511569901528,0.0,0.9634676347094858,0.0008561178393255,207.0,80612a1,completed,artifacts/runs/20260813T085944Z-lightgbm-dev-80612a1/oof_predictions.parquet,artifacts/runs/20260813T085944Z-lightgbm-dev-80612a1/test_predictions.parquet,,,,no,,,,
20260813T100627Z-lightgbm-dev-80612a1,lightgbm,"raw,missingness,behavioral_totals,behavioral_deltas,log_counts",dev,101b4013aefa4a5109a40b70436360986cb0aa4b7867bd1f80a4d98140266bf8,70df6f1d05fd8bf06698c3bb8e9395ecc69fc3a43ca539b8006b7f8ef43e2b41,42,5.0,0.9661480648633832,0.9730942368235928,0.9554654644186384,0.9654109747284804,0.9661480648633832,0.0,0.9661514973610064,0.0004758280694267,416.0,80612a1,completed,artifacts/runs/20260813T100627Z-lightgbm-dev-80612a1/oof_predictions.parquet,artifacts/runs/20260813T100627Z-lightgbm-dev-80612a1/test_predictions.parquet,,,,no,,,,
